n,A,A2,A3,B3,B4,B5,B6,c4,d2,d3,D1,D2,D3,D4,E2
52,0.4160251472,0.0918654136,0.4180693614,0.7022357812,1.2977642188,0.6988020916,1.2914186017,0.9951103466,4.5286373928,0.6492488179,2.5808909392,6.4763838464,0.5699045243,1.4300954757,0.6624509184
53,0.4120816918,0.0906992044,0.4140675012,0.7051263569,1.2948736431,0.7017446702,1.2886636116,0.9952041409,4.5433881668,0.647854202,2.5998255607,6.4869507729,0.5722217573,1.4277782427,0.6603001746
54,0.4082482905,0.089570815,0.4101784241,0.7079343603,1.2920656397,0.7046031078,1.2859857018,0.9952944048,4.5578271291,0.6464924746,2.6183497054,6.4973045529,0.5744732372,1.4255267628,0.6582083776
55,0.4045199175,0.0884783186,0.4063969292,0.710663649,1.289336351,0.7073813309,1.2833813368,0.9953813339,4.5719666012,0.6451622756,2.6364797743,6.5074534281,0.576662081,1.423337919,0.6561727724
56,0.4008918629,0.0874199206,0.4027181455,0.7133178329,1.2866821671,0.7100830147,1.2808472045,0.9954651096,4.5858182013,0.6438623246,2.6542312273,6.5174051752,0.5787912017,1.4212087983,0.654190783
57,0.3973597071,0.0863939472,0.3991375053,0.7159002942,1.2840997058,0.7127116031,1.2783801979,0.9955459005,4.5993928961,0.6425914142,2.6716186535,6.5271671387,0.5808633256,1.4191366744,0.6522599977
58,0.3939192986,0.0853988356,0.3956507202,0.7184142058,1.2815857942,0.715270327,1.2759773996,0.9956238633,4.6127010487,0.641348405,2.6886558337,6.5367462637,0.5828810073,1.4171189927,0.6503781555
59,0.3905667329,0.0844331244,0.3922537599,0.7208625474,1.2791374526,0.7177622214,1.2736360665,0.9956991439,4.6257524613,0.6401322206,2.7053557996,6.5461491229,0.5848466433,1.4151533567,0.6485431344
60,0.3872983346,0.0834954456,0.3889428322,0.7232481207,1.2767518793,0.7201901397,1.2713536172,0.9957718785,4.6385564145,0.6389418431,2.7217308851,6.5553819439,0.5867624843,1.4132375157,0.6467529403
61,0.3841106398,0.0825845171,0.3857143653,0.7255735622,1.2744264378,0.722556768,1.2691276197,0.9958421939,4.6511217036,0.6377763093,2.7377927757,6.5644506315,0.5886306466,1.4113693534,0.6450056978
62,0.381000381,0.081699136,0.3825649919,0.7278413564,1.2721586436,0.7248646373,1.2669557805,0.9959102089,4.6634566714,0.6366347065,2.7535525519,6.5733607908,0.5904531222,1.4095468778,0.6432996405
